PairID,Weight
1,0.166
2,0.166
3,0.167
4,0.166
5,0.143
6,0.143
7,0.143
8,0.143
9,0.143
10,0.143
11,0.142
12,0.5
13,0.25
14,0.25
15,0.25
16,0.25
17,0.5
18,1
19,1
20,0.166
21,0.167
22,0.333
23,0.333
24,0.334
25,0.125
26,0.125
27,0.125
28,0.125
29,0.125
30,0.125
31,0.125
32,0.125
33,0.2
34,0.2
35,0.2
36,0.2
37,0.2
38,0.25
39,0.25
40,0.25
41,0.25
42,0.5
43,0.25
44,0.25
45,0.25
46,0.25
48,1
49,0.333
50,0.333
51,0.334
56,0.083
57,0.083
58,0.084
59,0.083
60,0.083
61,0.084
62,0.083
63,0.083
64,0.084
65,0.333
66,0.333
67,0.334
68,1
69,1
72,1
73,0.083
74,0.083
75,0.084
76,1
77,0.5
78,0.3333
79,0.3333
80,0.3334
81,0.3333
82,0.3333
83,0.3334
84,1
85,1
86,1
87,1
88,1
89,0.25
90,0.25
91,0.25
92,0.25
93,1
94,0.3333
95,0.3333
96,0.3333
97,0.2
98,0.2
99,1
100,1
101,0.5
102,0.2
103,0.2
104,0.2
106,1
108,1
